case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,63,2.1411764705882352,5.0845737689069479e-06,5.0845737689069479e-06,0,1,956848.13096899004,1050207.2404691929,9317078.190942239,-0.153272166407495,1.0945653733942281e-06,1.0945653733942281e-06,1.4397048051129456e-07,1.2429348373675012e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,64,2.1743697478991595,5.163396635418653e-06,5.163396635418653e-06,0,1,945498.64273730631,1036550.7863556719,9319765.7907101735,-0.12465402668107942,1.0806775598900289e-06,1.0806775598900289e-06,1.439279786389576e-07,1.2164457784451628e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,65,2.2075630252100837,5.242219501930358e-06,5.242219501930358e-06,0,1,934415.23837231786,1023244.9386965387,9322353.6495637093,-0.097090149448198382,1.0677644549038358e-06,1.0677644549038358e-06,1.4388713847264451e-07,1.1925046557266533e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,66,2.2407563025210084,5.3210423684420639e-06,5.3210423684420639e-06,0,1,923588.66895983531,1010276.3667685706,9324846.6605688557,-0.070529281231892504,1.0557268236076537e-06,1.0557268236076537e-06,1.4384787406791756e-07,1.1707535742959533e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,67,2.2739495798319327,5.399865234953768e-06,5.399865234953768e-06,0,1,913010.10932491045,997632.40720306779,9327249.4193182699,-0.04492325143128606,1.0444786683668805e-06,1.0444786683668805e-06,1.4381010499252914e-07,1.150900128405478e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,68,2.3071428571428569,5.4786881014654731e-06,5.4786881014654731e-06,0,1,902671.13403960562,985301.02274117398,9329566.245445773,-0.020226752061589501,1.0339450619226953e-06,1.0339450619226953e-06,1.437737559056041e-07,1.1327028419836361e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,69,2.3403361344537812,5.5575109679771781e-06,5.5575109679771781e-06,1,1,892563.69504264893,973270.7640107217,9331801.2023412753,0.0036028643325103043,1.0240603972452951e-06,1.0240603972452951e-06,1.4373875617399613e-07,1.1159603703464187e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,70,2.3735294117647059,5.636333834488884e-06,5.636333834488884e-06,1,1,882680.10074602801,961530.73406945937,9333958.1152365953,0.026605770285981541,1.0147669627400372e-06,1.0147669627400372e-06,1.4370503952209651e-07,1.1005033675546212e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,71,2.4067226890756301,5.7151567010005881e-06,5.7151567010005881e-06,1,1,873012.99651453167,950070.55548387393,9336040.5878147054,0.048819834065309847,1.0060137738037714e-06,1.0060137738037714e-06,1.436725437117885e-07,1.0861882760563829e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,72,2.4399159663865544,5.7939795675122932e-06,5.7939795675122932e-06,1,1,863555.34641412087,938880.33973453939,9338052.0174790099,0.070280776727089656,9.9775560806253762e-07,9.9775560806253762e-07,1.4364121024960661e-07,1.0728925244509253e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,73,2.4731092436974786,5.8728024340239982e-06,5.8728024340239982e-06,1,1,854300.41613394406,927950.65875841968,9339995.6094051488,0.091022316808673301,9.8995220371070659e-07,9.8995220371070659e-07,1.4361098411847868e-07,1.0605107715098209e-06
SG-006h,SG-006h,rectangular,default,E_x_2_2,closed_form,E_x,2,2,74,2.5063025210084033,5.9516253005357041e-06,5.9516253005357041e-06,1,1,845241.75699488027,917272.51845598174,9341874.3894853294,0.11107630375316921,9.8256758941144983e-07,9.8256758941144983e-07,1.4358181353171168e-07,1.0489519377286974e-06
