a_over_b,mode_family,p,q,kz,ky,kx
2.75,E_y,1,2,9419608.699135866,306587.64648789563,58442.963555831317
2.75,E_y,2,1,9422804.9797672015,153376.51764660288,116882.70579216798
2.8000000000000003,E_y,1,2,9419614.940425463,306587.64648789563,57428.206820970561
2.8000000000000003,E_y,2,1,9422829.9330764674,153376.51764660288,114853.41073297014
2.8500000000000001,E_y,1,2,9419620.8648936618,306587.64648789563,56448.086639396774
2.8500000000000001,E_y,2,1,9422853.6198181249,153376.51764660288,112893.37057298617
2.9000000000000004,E_y,1,2,9419626.4936262071,306587.64648789563,55500.85945756681
2.9000000000000004,E_y,2,1,9422876.124275364,153376.51764660288,110999.09999699981
2.9500000000000002,E_y,1,2,9419631.8459834475,306587.64648789563,54584.896810026039
2.9500000000000002,E_y,2,1,9422897.5238360856,153376.51764660288,109167.3436637914
3,E_y,1,2,9419636.9397670217,306587.64648789563,53698.675978428771
3,E_y,2,1,9422917.8896588534,153376.51764660288,107395.05754927834
3.0500000000000003,E_y,1,2,9419641.7913680673,306587.64648789563,52840.7715451595
3.0500000000000003,E_y,2,1,9422937.2872650083,153376.51764660288,105679.39207641126
3.1000000000000001,E_y,1,2,9419646.4158992134,306587.64648789563,52009.847744186365
3.1000000000000001,E_y,2,1,9422955.7770661619,153376.51764660288,104017.67683568184
3.1500000000000004,E_y,1,2,9419650.8273124322,306587.64648789563,51204.651522082379
3.1500000000000004,E_y,2,1,9422973.4148349911,153376.51764660288,102407.40672359677
3.2000000000000002,E_y,1,2,9419655.0385043621,306587.64648789563,50424.00623380606
3.2000000000000002,E_y,2,1,9422990.2521261815,153376.51764660288,100846.22934854598
3.25,E_y,1,2,9419659.0614106804,306587.64648789563,49666.805906292735
3.25,E_y,2,1,9423006.3366535027,153376.51764660288,99331.933570299792
3.3000000000000003,E_y,1,2,9419662.9070907608,306587.64648789563,48932.01001118061
3.3000000000000003,E_y,2,1,9423021.7126281094,153376.51764660288,97862.439056365052
3.3500000000000001,E_y,1,2,9419666.5858037509,306587.64648789563,48218.638694876252
3.3500000000000001,E_y,2,1,9423036.4210626148,153376.51764660288,96435.78675114052
3.4000000000000004,E_y,1,2,9419670.1070770733,306587.64648789563,47525.76841959772
3.4000000000000004,E_y,2,1,9423050.5000447799,153376.51764660288,95050.130166500836
3.4500000000000002,E_y,1,2,9419673.4797681626,306587.64648789563,46852.527974955519
3.4500000000000002,E_y,2,1,9423063.984984288,153376.51764660288,93703.727411952219
3.5,E_y,1,2,9419676.7121202163,306587.64648789563,46198.094823824125
3.5,E_y,2,1,9423076.9088355545,153376.51764660288,92394.933892579429
3.5500000000000003,E_y,1,2,9419679.811812615,306587.64648789563,45561.691750054553
3.5500000000000003,E_y,2,1,9423089.302299222,153376.51764660288,91122.195610111667
3.6000000000000001,E_y,1,2,9419682.7860065699,306587.64648789563,44942.583779545414
3.6000000000000001,E_y,2,1,9423101.1940046065,153376.51764660288,89884.04300991437
3.6500000000000004,E_y,1,2,9419685.6413865183,306587.64648789563,44340.075348971935
3.6500000000000004,E_y,2,1,9423112.6106751598,153376.51764660288,88679.085322527593
3.7000000000000002,E_y,1,2,9419688.3841977119,306587.64648789563,43753.507699199254
3.7000000000000002,E_y,2,1,9423123.5772787035,153376.51764660288,87506.005354402732
3.75,E_y,1,2,9419691.0202804003,306587.64648789563,43182.256472774301
3.75,E_y,2,1,9423134.1171640344,153376.51764660288,86363.554686289368
3.8000000000000003,E_y,1,2,9419693.5551009346,306587.64648789563,42625.729497354114
3.8000000000000003,E_y,2,1,9423144.2521852888,153376.51764660288,85250.549242893117
3.8500000000000001,E_y,1,2,9419695.993780138,306587.64648789563,42083.36473816885
