case_id,table_entry_interpretation,row_id,article_panel_id,solver_model,a_over_b,n1,n2,n3,n4,n5,article_dimension_normalized,computed_dimension_normalized,computed_b_normalized,computed_a_normalized,computed_b_over_A4,absolute_error,relative_error,limiting_cutoff_found,limiting_cutoff_status,limiting_mode_id,limiting_mode_family,limiting_p,limiting_q,ex11_guided_just_below_cutoff,ey11_guided_just_below_cutoff
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001C-1050,SG-006c,exact,4,1.5,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,3.7999999999999998,3.9457994896173472,0.98644987240433679,3.9457994896173472,0.60155819876235705,0.14579948961734734,0.038368286741407201,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001C-1050,SG-006c,closed_form,4,1.5,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,3.7999999999999998,4.2644954174757013,1.0661238543689253,4.2644954174757013,0.65014509447761837,0.46449541747570144,0.12223563617781617,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001C-1500,SG-006g,exact,4,1.5,1,1,1,1,1.3700000000000001,1.7328952008485792,0.43322380021214479,1.7328952008485792,0.64581191116342918,0.36289520084857907,0.26488700791867081,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001C-1500,SG-006g,closed_form,4,1.5,1,1,1,1,1.3700000000000001,1.851732031106949,0.46293300777673724,1.851732031106949,0.69009978294481555,0.48173203110694884,0.35162921978609402,1,found,E_x_2_1,E_x,2,1,1,0
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001D-1001,SG-006h,exact,1,1.5,1,1.4985014985014986,1.4985014985014986,1.4985014985014986,17.699999999999999,17.629092363715174,17.629092363715174,17.629092363715174,1.5756124930090547,-0.07090763628482577,-0.0040060811460353547,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001D-1001,SG-006h,closed_form,1,1.5,1,1.4985014985014986,1.4985014985014986,1.4985014985014986,17.699999999999999,18.695128722786905,18.695128722786905,18.695128722786905,1.6708902401954295,0.99512872278690523,0.056221961739373182,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001D-1010,SG-006h,exact,1,1.5,1,1.4851485148514851,1.4851485148514851,1.4851485148514851,5.5999999999999996,5.5768885639309893,5.5768885639309893,5.5768885639309893,1.5656641854234421,-0.023111436069010338,-0.004127042155180418,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001D-1010,SG-006h,closed_form,1,1.5,1,1.4851485148514851,1.4851485148514851,1.4851485148514851,5.5999999999999996,5.9422262269258512,5.9422262269258512,5.9422262269258512,1.6682296371050105,0.34222622692585158,0.061111826236759217,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001D-1050,SG-006h,exact,1,1.5,1,1.4285714285714286,1.4285714285714286,1.4285714285714286,2.6000000000000001,2.5581208094954495,2.5581208094954495,2.5581208094954495,1.5599967007201572,-0.041879190504550579,-0.016107380963288682,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001D-1050,SG-006h,closed_form,1,1.5,1,1.4285714285714286,1.4285714285714286,1.4285714285714286,2.6000000000000001,2.73432829990983,2.73432829990983,2.73432829990983,1.6674517914524938,0.13432829990982986,0.051664730734549948,1,found,E_y_2_1,E_y,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001E-1001,SG-006i,exact,2,1.5,1,1.4985014985014986,1.4985014985014986,1.4985014985014986,23.199999999999999,23.528186866939066,11.764093433469533,23.528186866939066,1.0514241005879079,0.32818686693906685,0.014145985643925295,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001E-1001,SG-006i,closed_form,2,1.5,1,1.4985014985014986,1.4985014985014986,1.4985014985014986,23.199999999999999,24.31941733926535,12.159708669632675,24.31941733926535,1.0867824897586598,1.1194173392653504,0.048250747382127174,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001E-1010,SG-006i,exact,2,1.5,1,1.4851485148514851,1.4851485148514851,1.4851485148514851,7.4000000000000004,7.3642341035604471,3.6821170517802235,7.3642341035604471,1.0337231465937156,-0.035765896439553302,-0.0048332292485882842,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001E-1010,SG-006i,closed_form,2,1.5,1,1.4851485148514851,1.4851485148514851,1.4851485148514851,7.4000000000000004,7.6242937707900991,3.8121468853950495,7.6242937707900991,1.0702279200338725,0.22429377079009871,0.030309969025689013,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001E-1050,SG-006i,exact,2,1.5,1,1.4285714285714286,1.4285714285714286,1.4285714285714286,3.3999999999999999,3.3136034375429153,1.6568017187714577,3.3136034375429153,1.0103530706748496,-0.086396562457084602,-0.025410753663848411,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001E-1050,SG-006i,closed_form,2,1.5,1,1.4285714285714286,1.4285714285714286,1.4285714285714286,3.3999999999999999,3.4512432619929312,1.7256216309964656,3.4512432619929312,1.0523209228639878,0.051243261992931277,0.015071547644979788,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001F-1001,SG-006j,exact,4,1.5,1,1.4985014985014986,1.4985014985014986,1.4985014985014986,34.899999999999999,34.849015808105463,8.7122539520263658,34.849015808105463,0.77866380672744839,-0.050984191894535513,-0.001460865097264628,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001F-1001,SG-006j,closed_form,4,1.5,1,1.4985014985014986,1.4985014985014986,1.4985014985014986,34.899999999999999,36.88268306136132,9.2206707653403299,36.88268306136132,0.82410391596200672,1.9826830613613211,0.056810402904335852,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001F-1010,SG-006j,exact,4,1.5,1,1.4851485148514851,1.4851485148514851,1.4851485148514851,11,10.739191229939461,2.6847978074848653,10.739191229939461,0.75373422367964871,-0.26080877006053882,-0.023709888187321712,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001F-1010,SG-006j,closed_form,4,1.5,1,1.4851485148514851,1.4851485148514851,1.4851485148514851,11,11.349739543199536,2.8374348857998841,11.349739543199536,0.79658578941311364,0.34973954319953648,0.031794503927230593,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001F-1050,SG-006j,exact,4,1.5,1,1.4285714285714286,1.4285714285714286,1.4285714285714286,4.9000000000000004,4.6890071654319758,1.172251791357994,4.6890071654319758,0.71486417691604232,-0.21099283456802453,-0.043059762156739699,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001F-1050,SG-006j,closed_form,4,1.5,1,1.4285714285714286,1.4285714285714286,1.4285714285714286,4.9000000000000004,4.9503629744052891,1.2375907436013223,4.9503629744052891,0.75470926536915883,0.050362974405288696,0.010278158041895651,1,found,E_x_2_1,E_x,2,1,1,1
