case_id,line_kind,line_id,mode_family,p,q,c_value,sample_index,x,y
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,64,0.029753602975360297,0.73221757322175729
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,65,0.0302185030218503,0.72803347280334729
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,66,0.030683403068340307,0.7238493723849373
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,67,0.031148303114830307,0.7196652719665273
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,68,0.031613203161320318,0.71548117154811708
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,69,0.032078103207810321,0.71129707112970708
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,70,0.032543003254300325,0.70711297071129708
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,71,0.033007903300790328,0.70292887029288709
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,72,0.033472803347280332,0.69874476987447709
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,73,0.033937703393770335,0.69456066945606698
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,74,0.034402603440260339,0.69037656903765687
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,75,0.034867503486750343,0.68619246861924688
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,76,0.035332403533240353,0.68200836820083688
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,77,0.035797303579730357,0.67782426778242677
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,78,0.03626220362622036,0.67364016736401677
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,79,0.036727103672710364,0.66945606694560666
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,80,0.037192003719200374,0.66527196652719667
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,81,0.037656903765690378,0.66108786610878667
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,82,0.038121803812180381,0.65690376569037656
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,83,0.038586703858670385,0.65271966527196656
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,84,0.039051603905160388,0.64853556485355646
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,85,0.039516503951650399,0.64435146443514646
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,86,0.039981403998140402,0.64016736401673635
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,87,0.040446304044630399,0.63598326359832646
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,88,0.040911204091120403,0.63179916317991636
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,89,0.041376104137610406,0.62761506276150636
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,90,0.041841004184100417,0.62343096234309625
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,91,0.04230590423059042,0.61924686192468625
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,92,0.042770804277080424,0.61506276150627626
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,93,0.043235704323570427,0.61087866108786615
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,94,0.043700604370060438,0.60669456066945604
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,95,0.044165504416550441,0.60251046025104604
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,96,0.044630404463040445,0.59832635983263605
