case_id,ratio_id,ratio_label,curve_id,curve_label,solver_model,transverse_equation,p,n1_over_n5,index_ratio_squared,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,65,1.3,0.65000000000000002,0.92924316284511965,0.36946873251413087,0.30005790567227503,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,66,1.3200000000000001,0.66000000000000003,0.92924316284511965,0.36946873251413087,0.29659520777648313,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,67,1.3400000000000001,0.67000000000000004,0.92924316284511965,0.36946873251413087,0.29317246975673805,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,68,1.3600000000000001,0.68000000000000005,0.92924316284511965,0.36946873251413087,0.28978923047211963,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,69,1.3800000000000001,0.69000000000000006,0.92924316284511965,0.36946873251413087,0.28644503410331967,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,70,1.4000000000000001,0.70000000000000007,0.92924316284511965,0.36946873251413087,0.28313943009122966,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,71,1.4199999999999999,0.70999999999999996,0.92924316284511965,0.36946873251413087,0.27987197307623796,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,72,1.4399999999999999,0.71999999999999997,0.92924316284511965,0.36946873251413087,0.27664222283822659,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,73,1.46,0.72999999999999998,0.92924316284511965,0.36946873251413087,0.27344974423726159,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,74,1.48,0.73999999999999999,0.92924316284511965,0.36946873251413087,0.2702941071549666,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,75,1.5,0.75,0.92924316284511965,0.36946873251413087,0.26717488643657406,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,76,1.52,0.76000000000000001,0.92924316284511965,0.36946873251413087,0.26409166183364424,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,77,1.54,0.77000000000000002,0.92924316284511965,0.36946873251413087,0.26104401794744603,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,78,1.5600000000000001,0.78000000000000003,0.92924316284511965,0.36946873251413087,0.25803154417299085,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,79,1.5800000000000001,0.79000000000000004,0.92924316284511965,0.36946873251413087,0.25505383464371212,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,80,1.6000000000000001,0.80000000000000004,0.92924316284511965,0.36946873251413087,0.25211048817678372,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,81,1.6200000000000001,0.81000000000000005,0.92924316284511965,0.36946873251413087,0.24920110821906888,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,82,1.6400000000000001,0.82000000000000006,0.92924316284511965,0.36946873251413087,0.24632530279369327,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,83,1.6600000000000001,0.83000000000000007,0.92924316284511965,0.36946873251413087,0.24348268444723442,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,84,1.6799999999999999,0.83999999999999997,0.92924316284511965,0.36946873251413087,0.24067287019752082,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,85,1.7,0.84999999999999998,0.92924316284511965,0.36946873251413087,0.23789548148203279,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,86,1.72,0.85999999999999999,0.92924316284511965,0.36946873251413087,0.2351501441068998,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,87,1.74,0.87,0.92924316284511965,0.36946873251413087,0.23243648819648546,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,88,1.76,0.88,0.92924316284511965,0.36946873251413087,0.22975414814355485,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,89,1.78,0.89000000000000001,0.92924316284511965,0.36946873251413087,0.2271027625600166,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,90,1.8,0.90000000000000002,0.92924316284511965,0.36946873251413087,0.22448197422823377,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,91,1.8200000000000001,0.91000000000000003,0.92924316284511965,0.36946873251413087,0.22189143005289613,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,92,1.8400000000000001,0.92000000000000004,0.92924316284511965,0.36946873251413087,0.21933078101344838,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,93,1.8600000000000001,0.93000000000000005,0.92924316284511965,0.36946873251413087,0.21679968211706682,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,94,1.8800000000000001,0.94000000000000006,0.92924316284511965,0.36946873251413087,0.21429779235217913,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,95,1.9000000000000001,0.95000000000000007,0.92924316284511965,0.36946873251413087,0.21182477464252011,1,ok
