case_id,curve_id,solver_model,mode_family,p,q,sample_index,a_over_A,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,13,0.47791666666666671,5.2246630591817433e-07,2.6123315295908716e-07,0,1,2349302.0925963838,2401152.4191624159,8805775.7379731741,-0.36648398353379608
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,14,0.51083333333333336,5.5845134355334061e-07,2.792256717766703e-07,0,1,2300797.6188144097,2354142.4306124728,8831239.0604859181,-0.3121023025357752
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,15,0.54375000000000007,5.9443638118850699e-07,2.972181905942535e-07,0,1,2253088.8391923709,2307504.8333549285,8855814.5721641369,-0.25946779795109975
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,16,0.57666666666666677,6.3042141882367338e-07,3.1521070941183669e-07,0,1,2206325.6610057261,2261437.4635565514,8879440.707939595,-0.20872871455199005
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,17,0.60958333333333348,6.6640645645883966e-07,3.3320322822941983e-07,0,1,2160618.026846996,2216097.9443881214,8902082.8603617717,-0.15997596014057661
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,18,0.64250000000000007,7.0239149409400594e-07,3.5119574704700297e-07,0,1,2116043.1913503781,2171609.0722275833,8923727.6325290669,-0.11325467481560404
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,19,0.67541666666666678,7.3837653172917232e-07,3.6918826586458616e-07,0,1,2072651.9643790249,2128063.913893865,8944377.9785261061,-0.068574144274289678
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,20,0.70833333333333348,7.743615693643386e-07,3.871807846821693e-07,0,1,2030473.9793862072,2085530.4747868381,8964049.1781100351,-0.025916117014982556
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,21,0.74125000000000008,8.1034660699950488e-07,4.0517330349975244e-07,1,1,1989522.0828764387,2044055.8707422703,8982765.5590489134,0.014758337141013173
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,22,0.77416666666666678,8.4633164463467127e-07,4.2316582231733563e-07,1,1,1949795.9551081532,2003669.986722948,9000557.8675743099,0.053503254042509704
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,23,0.80708333333333349,8.8231668226983765e-07,4.4115834113491883e-07,1,1,1911285.0725349761,1964388.6379689304,9017461.1870707721,0.090383305649902893
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,24,0.84000000000000008,9.1830171990500383e-07,4.5915085995250191e-07,1,1,1873971.1152651042,1926216.2685576938,9033513.3118682019,0.12547025889085867
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,25,0.87291666666666679,9.5428675754017011e-07,4.7714337877008505e-07,1,1,1837829.9119789242,1889148.2322802301,9048753.4932117742,0.15884020349031991
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,26,0.90583333333333349,9.902717951753366e-07,4.951358975876683e-07,1,1,1802833.0027144742,1853172.7043891074,9063221.4858644456,0.19057140864821964
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,27,0.9387500000000002,1.0262568328105029e-06,5.1312841640525144e-07,1,1,1768948.8880670895,1818272.2723353778,9076956.8350227829,0.22074268853876342
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,28,0.97166666666666679,1.0622418704456692e-06,5.3112093522283458e-07,1,1,1736144.0224115336,1784425.2508800318,9089998.3535350934,0.24943217569747334
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,29,1.0045833333333334,1.0982269080808354e-06,5.4911345404041772e-07,1,1,1704383.5990877615,1751606.7628308809,9102383.7485226933,0.2767164186736164
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,30,1.0375000000000001,1.1342119457160017e-06,5.6710597285800086e-07,1,1,1673632.1670598798,1719789.6221132933,9114149.3643048294,0.30266973544079462
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,31,1.0704166666666668,1.1701969833511682e-06,5.8509849167558411e-07,1,1,1643854.1115389934,1688945.0511486218,9125330.015072396,0.32736376695595487
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,32,1.1033333333333335,1.2061820209863345e-06,6.0309101049316725e-07,1,1,1615014.0250283494,1659043.260183356,9135958.8861600179,0.35086718606444656
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,33,1.1362500000000002,1.2421670586215008e-06,6.2108352931075039e-07,1,1,1587076.990387843,1630053.9120276384,9146067.4871919211,0.37324552591965082
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,34,1.1691666666666669,1.2781520962566673e-06,6.3907604812833363e-07,1,1,1560008.7934252964,1601946.4921229079,9155685.6439381503,0.39456109938958289
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,35,1.2020833333333336,1.3141371338918335e-06,6.5706856694591677e-07,1,1,1533776.0792051908,1574690.6006711323,9164841.518587226,0.41487298687773838
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,36,1.2350000000000001,1.3501221715269996e-06,6.750610857634998e-07,1,1,1508346.4635552233,1548256.1807771721,9173561.6504370868,0.43423707480329665
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,37,1.2679166666666668,1.3861072091621661e-06,6.9305360458108305e-07,1,1,1483688.6090366645,1522613.6942728262,9181871.0108142979,0.45270613081958777
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,38,1.3008333333333335,1.4220922467973324e-06,7.1104612339866619e-07,1,1,1459772.2728671997,1497734.2548707782,9189793.0674721431,0.47032990493777382
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,39,1.3337500000000002,1.4580772844324987e-06,7.2903864221624933e-07,1,1,1436568.3328200395,1473589.7266644272,9197349.854844708,0.487155248162569
