case_id,table_entry_interpretation,row_id,article_panel_id,solver_model,mode_id,mode_family,p,q,cutoff_found,guided_at_search_min,guided_at_search_max,guided_in_search_window,cutoff_status,cutoff_b_normalized,cutoff_a_normalized,cutoff_b_over_A4
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_2_3,E_y,2,3,1,0,1,1,found,33.228403323739769,33.228403323739769,2.9698118496098576
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_2_3,E_x,2,3,1,0,1,1,found,33.222931966781616,33.222931966781616,2.9693228432447469
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_2_4,E_y,2,4,1,0,1,1,found,42.925910887271186,42.925910887271186,3.8365333888082529
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_2_4,E_x,2,4,1,0,1,1,found,42.917375719398251,42.917375719398251,3.835770552194032
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_3_1,E_y,3,1,1,0,1,1,found,28.260311387926333,28.260311387926333,2.525785148802695
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_3_1,E_x,3,1,1,0,1,1,found,28.27169061854482,28.27169061854482,2.5268021755192955
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_3_2,E_y,3,2,1,0,1,1,found,33.222931966781616,33.222931966781616,2.9693228432447469
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_3_2,E_x,3,2,1,0,1,1,found,33.228403323739769,33.228403323739769,2.9698118496098576
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_3_3,E_y,3,3,1,0,1,1,found,40.353885201513755,40.353885201513755,3.6066567894229875
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_3_3,E_x,3,3,1,0,1,1,found,40.353885201513755,40.353885201513755,3.6066567894229875
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_3_4,E_y,3,4,1,0,1,1,found,48.829759804010394,48.829759804010394,4.364194026017139
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_3_4,E_x,3,4,1,0,1,1,found,48.825776775330311,48.825776775330311,4.3638380400356231
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_4_1,E_y,4,1,1,0,1,1,found,39.010163137316709,39.010163137316709,3.4865606876044706
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_4_1,E_x,4,1,1,0,1,1,found,39.022714109867806,39.022714109867806,3.4876824395780224
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_4_2,E_y,4,2,1,0,1,1,found,42.917375719398251,42.917375719398251,3.835770552194032
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_4_2,E_x,4,2,1,0,1,1,found,42.925910887271186,42.925910887271186,3.8365333888082529
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_4_3,E_y,4,3,1,0,1,1,found,48.825776775330311,48.825776775330311,4.3638380400356231
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_4_3,E_x,4,3,1,0,1,1,found,48.829759804010394,48.829759804010394,4.364194026017139
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_4_4,E_y,4,4,0,0,0,0,above_search_max,nan,nan,nan
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_4_4,E_x,4,4,0,0,0,0,above_search_max,nan,nan,nan
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_1_2,E_y,1,2,1,0,1,1,found,5.288182674348354,5.288182674348354,1.4846124544701282
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_1_2,E_x,1,2,1,0,1,1,found,5.2831694364547728,5.2831694364547728,1.4832050304319733
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_1_3,E_y,1,3,1,0,1,1,found,8.3864754289388657,8.3864754289388657,2.354431879084927
