case_id,curve_id,curve_label,solver_model,transverse_equation,p,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,44,0.88,0.44,0.80616259520668487,0.59169406798583235,0.33944030141774811,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,45,0.90000000000000002,0.45000000000000001,0.80616259520668487,0.59169406798583235,0.33318885838304368,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,46,0.92000000000000004,0.46000000000000002,0.80616259520668487,0.59169406798583235,0.32705254764068326,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,47,0.94000000000000006,0.47000000000000003,0.80616259520668487,0.59169406798583235,0.3210292488090738,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,48,0.95999999999999996,0.47999999999999998,0.80616259520668487,0.59169406798583235,0.31511688055750903,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,49,0.97999999999999998,0.48999999999999999,0.80616259520668487,0.59169406798583235,0.30931339988697237,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,50,1,0.5,0.80616259520668487,0.59169406798583235,0.30361680142418584,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,51,1.02,0.51000000000000001,0.80616259520668487,0.59169406798583235,0.29802511672865956,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,52,1.04,0.52000000000000002,0.80616259520668487,0.59169406798583235,0.2925364136125041,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,53,1.0600000000000001,0.53000000000000003,0.80616259520668487,0.59169406798583235,0.28714879547276928,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,54,1.0800000000000001,0.54000000000000004,0.80616259520668487,0.59169406798583235,0.28186040063607959,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,55,1.1000000000000001,0.55000000000000004,0.80616259520668487,0.59169406798583235,0.27666940171533894,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,56,1.1200000000000001,0.56000000000000005,0.80616259520668487,0.59169406798583235,0.27157400497828327,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,57,1.1400000000000001,0.57000000000000006,0.80616259520668487,0.59169406798583235,0.26657244972766242,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,58,1.1599999999999999,0.57999999999999996,0.80616259520668487,0.59169406798583235,0.26166300769283701,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,59,1.1799999999999999,0.58999999999999997,0.80616259520668487,0.59169406798583235,0.25684398243258061,1,ok
